year,item,Area harvested,Production,Yield
1961,Maize (corn),105559547,205027236,19423
1961,Rice,115365128,215646627,18693
1961,Soya beans,23818820,26883158,11287
1961,Wheat,204209450,222357231,10889
1962,Maize (corn),103496472,204876636,19796
1962,Rice,119452412,226456291,18958
1962,Soya beans,23822275,27120148,11384
1962,Wheat,207554518,250319146,12060
1963,Maize (corn),108427427,220228115,20311
1963,Rice,120151874,247119204,20567
1963,Soya beans,24398949,28207071,11561
1963,Wheat,206130240,233339473,11320
1964,Maize (corn),107925069,215172391,19937
1964,Rice,125056092,262928949,21025
1964,Soya beans,25681026,29079547,11323
1964,Wheat,216539177,268791657,12413
1965,Maize (corn),106676499,226544121,21237
1965,Rice,124828866,254059657,20353
1965,Soya beans,25819966,31704923,12279
1965,Wheat,216979762,263645963,12151
1966,Maize (corn),111240993,245599100,22078
1966,Rice,125680502,261181246,20781
1966,Soya beans,26534256,36412918,13723
1966,Wheat,215766959,303785460,14079
1967,Maize (corn),112457700,272548408,24236
1967,Rice,127537632,277386339,21749
1967,Soya beans,28112290,37933319,13494
1967,Wheat,219749378,294295876,13392
1968,Maize (corn),111677783,255670482,22894
1968,Rice,129264962,288624275,22328
1968,Soya beans,28874372,41420481,14345
1968,Wheat,224875053,326843941,14534
1969,Maize (corn),111338020,269505982,24206
1969,Rice,131137511,295584346,22540
1969,Soya beans,28897038,41967347,14523
1969,Wheat,217750101,308640283,14174
1970,Maize (corn),113076119,265831067,23509
1970,Rice,132873177,316345651,23808
1970,Soya beans,29525510,43696887,14800
1970,Wheat,207979029,310740954,14941
1971,Maize (corn),118195097,313622542,26534
1971,Rice,134513921,317712363,23619
1971,Soya beans,30033769,45618769,15189
1971,Wheat,213924167,347525581,16245
1972,Maize (corn),114947787,308826205,26867
1972,Rice,132197915,307289867,23245
1972,Soya beans,31724286,47257207,14896
1972,Wheat,213762072,343001429,16046
1973,Maize (corn),116943548,318290384,27217
1973,Rice,136572548,334928765,24524
1973,Soya beans,37391240,59267889,15851
1973,Wheat,219374913,369334126,16836
1974,Maize (corn),119862397,306427262,25565
1974,Rice,136887849,331970539,24251
1974,Soya beans,37390118,52639832,14079
1974,Wheat,222117967,358825442,16155
1975,Maize (corn),121483561,341751886,28132
1975,Rice,141729254,356963012,25186
1975,Soya beans,38764952,64248541,16574
1975,Wheat,226617018,355806146,15701
1976,Maize (corn),124209053,352395781,28371
1976,Rice,141860154,347686382,24509
1976,Soya beans,37167564,57399226,15443
1976,Wheat,234418092,419868031,17911
1977,Maize (corn),125249255,371593270,29668
1977,Rice,143663749,369481070,25718
1977,Soya beans,42056753,73854802,17561
1977,Wheat,228577847,382276677,16724
1978,Maize (corn),124729562,393600005,31556
1978,Rice,143503572,385208660,26843
1978,Soya beans,46392180,75449966,16264
1978,Wheat,229635073,443844880,19328
1979,Maize (corn),123679501,418622905,33847
1979,Rice,141118014,375251671,26591
1979,Soya beans,50708188,88698341,17492
1979,Wheat,228381779,422999301,18522
1980,Maize (corn),125776294,396623299,31534
1980,Rice,144412301,396871220,27482
