year,area,element,item,unit,value
1961,World,Area harvested,Maize (corn),ha,105559547
1961,World,Yield,Maize (corn),100 g/ha,19423
1961,World,Production,Maize (corn),t,205027236
1962,World,Area harvested,Maize (corn),ha,103496472
1962,World,Yield,Maize (corn),100 g/ha,19796
1962,World,Production,Maize (corn),t,204876636
1963,World,Area harvested,Maize (corn),ha,108427427
1963,World,Yield,Maize (corn),100 g/ha,20311
1963,World,Production,Maize (corn),t,220228115
1964,World,Area harvested,Maize (corn),ha,107925069
1964,World,Yield,Maize (corn),100 g/ha,19937
1964,World,Production,Maize (corn),t,215172391
1965,World,Area harvested,Maize (corn),ha,106676499
1965,World,Yield,Maize (corn),100 g/ha,21237
1965,World,Production,Maize (corn),t,226544121
1966,World,Area harvested,Maize (corn),ha,111240993
1966,World,Yield,Maize (corn),100 g/ha,22078
1966,World,Production,Maize (corn),t,245599100
1967,World,Area harvested,Maize (corn),ha,112457700
1967,World,Yield,Maize (corn),100 g/ha,24236
1967,World,Production,Maize (corn),t,272548408
1968,World,Area harvested,Maize (corn),ha,111677783
1968,World,Yield,Maize (corn),100 g/ha,22894
1968,World,Production,Maize (corn),t,255670482
1969,World,Area harvested,Maize (corn),ha,111338020
1969,World,Yield,Maize (corn),100 g/ha,24206
1969,World,Production,Maize (corn),t,269505982
1970,World,Area harvested,Maize (corn),ha,113076119
1970,World,Yield,Maize (corn),100 g/ha,23509
1970,World,Production,Maize (corn),t,265831067
1971,World,Area harvested,Maize (corn),ha,118195097
1971,World,Yield,Maize (corn),100 g/ha,26534
1971,World,Production,Maize (corn),t,313622542
1972,World,Area harvested,Maize (corn),ha,114947787
1972,World,Yield,Maize (corn),100 g/ha,26867
1972,World,Production,Maize (corn),t,308826205
1973,World,Area harvested,Maize (corn),ha,116943548
1973,World,Yield,Maize (corn),100 g/ha,27217
1973,World,Production,Maize (corn),t,318290384
1974,World,Area harvested,Maize (corn),ha,119862397
1974,World,Yield,Maize (corn),100 g/ha,25565
1974,World,Production,Maize (corn),t,306427262
1975,World,Area harvested,Maize (corn),ha,121483561
1975,World,Yield,Maize (corn),100 g/ha,28132
1975,World,Production,Maize (corn),t,341751886
1976,World,Area harvested,Maize (corn),ha,124209053
