year,avg c02 ppm
1958,315.237
1959,315.9816667
1960,316.9083333
1961,317.6433333
1962,318.4533333
1963,318.9925
1964,319.62
1965,320.0366667
1966,321.3675
1967,322.1791667
1968,323.05
1969,324.6208333
1970,325.6816667
1971,326.32
1972,327.4566667
1973,329.6816667
1974,330.1933333
1975,331.1275
1976,332.0258333
1977,333.8441667
1978,335.415
1979,336.835
1980,338.7625
1981,340.12
1982,341.4783333
1983,343.1525
1984,344.8675
1985,346.3516667
1986,347.6075
1987,349.3116667
1988,351.69
1989,353.205
1990,354.4525
1991,355.7041667
1992,356.5458333
1993,357.215
1994,358.9591667
1995,360.9683333
1996,362.7433333
1997,363.8766667
1998,366.84
1999,368.54
2000,369.7075
2001,371.3191667
2002,373.4525
2003,375.9833333
2004,377.6975
2005,379.9833333
2006,382.0908333
2007,384.025
2008,385.8325
2009,387.6425
2010,390.1016667
2011,391.8508333
2012,394.0558333
2013,396.7375
2014,398.8125
2015,401.0125
2016,404.4125
2017,406.7583333
2018,408.715
2019,411.6491667
2020,414.2125
2021,416.4141667
2022,418.5283333
2023,421.08
2024,425.5183333
