year,anomaly
1901,-0.374350596
1902,-0.583799528
1903,0.135098498
1904,-0.086948866
1905,-0.192067033
1906,0.408326992
1907,-0.342854516
1908,-0.018051191
1909,0.263051323
1910,0.134311096
1911,-0.453484497
1912,-0.322775765
1913,-0.455059301
1914,-0.47828766
1915,-0.103878009
1916,0.617775924
1917,0.34848444
1918,-0.461358517
1919,-0.567264086
1920,-0.231043432
1921,0.235885954
1922,-0.165295365
1923,0.109507933
1924,-0.118444946
1925,-0.191279631
1926,0.307539536
1927,0.213051296
1928,-0.294822994
1929,-0.425531726
1930,-0.701909828
1931,0.092185089
1932,-0.12789377
1933,0.402027776
1934,0.180767814
1935,0.013051188
1936,-0.146791418
1937,-0.04521656
1938,-0.075137836
1939,0.049665381
1940,-0.673563356
1941,-0.76175238
1942,-0.105452813
1943,-0.502303421
1944,-0.501122318
1945,-0.313720642
1946,-0.42710653
1947,0.103996119
1948,-0.233405638
1949,0.070531534
1950,0.703602742
1951,-0.540098717
1952,-0.320019858
1953,0.209901688
1954,0.557933372
1955,0.853996524
1956,1.127618719
1957,0.082736265
1958,-0.327106476
1959,0.213838698
1960,0.140610312
1961,0.594153864
1962,0.028799228
1963,-0.164114262
1964,-0.051515776
1965,-1.066476954
1966,0.142185116
1967,-0.096791391
1968,0.052814989
1969,-0.097578793
1970,-0.060177198
1971,0.033917341
1972,-0.77356341
1973,1.352028289
1974,1.185886467
1975,0.976831236
1976,-0.12789377
1977,0.570531804
1978,0.713051566
1979,0.041003959
1980,-0.289704881
1981,0.403208879
1982,-0.142854408
1983,-0.296397798
1984,0.38391753
1985,-0.090098474
1986,-0.429862437
1987,-1.355453488
1988,0.619744429
1989,0.409114394
1990,0.024862218
1991,-0.472382145
1992,-1.079862788
1993,-0.09246068
1994,-0.088129969
1995,0.048484278
1996,0.499271923
1997,-0.157027644
1998,0.762657892
1999,0.960689495
2000,1.222894361
2001,0.089429182
2002,-0.56883889
2003,-0.286555273
2004,0.257145808
2005,-0.412933294
2006,0.678799579
2007,0.510689252
2008,1.022106851
2009,-0.058602394
2010,1.422500768
2011,1.010689522
2012,0.288641888
2013,0.750846862
2014,0.153602445
2015,-0.83655557
2016,0.485492388
2017,0.928012312
2018,0.521319179
2019,-0.349547433
2020,0.611870409
2021,-0.314114343
2022,-0.093248082
2023,-1.815296256
